"","housing_median_age","total_rooms","total_bedrooms","households","median_income","median_house_value","ocean_proximity"
"1",41,880,129,126,8.3252,452600,"NEAR BAY"
"2",21,7099,1106,1138,8.3014,358500,"NEAR BAY"
"3",52,1467,190,177,7.2574,352100,"NEAR BAY"
"4",52,1274,235,219,5.6431,341300,"NEAR BAY"
"5",52,1627,280,259,3.8462,342200,"NEAR BAY"
"6",52,919,213,193,4.0368,269700,"NEAR BAY"
"7",52,2535,489,514,3.6591,299200,"NEAR BAY"
"8",52,3104,687,647,3.12,241400,"NEAR BAY"
"9",42,2555,665,595,2.0804,226700,"NEAR BAY"
"10",52,3549,707,714,3.6912,261100,"NEAR BAY"
"11",52,2202,434,402,3.2031,281500,"NEAR BAY"
"12",52,3503,752,734,3.2705,241800,"NEAR BAY"
"13",52,2491,474,468,3.075,213500,"NEAR BAY"
"14",52,696,191,174,2.6736,191300,"NEAR BAY"
"15",52,2643,626,620,1.9167,159200,"NEAR BAY"
"16",50,1120,283,264,2.125,140000,"NEAR BAY"
"17",52,1966,347,331,2.775,152500,"NEAR BAY"
"18",52,1228,293,303,2.1202,155500,"NEAR BAY"
"19",50,2239,455,419,1.9911,158700,"NEAR BAY"
"20",52,1503,298,275,2.6033,162900,"NEAR BAY"
"21",40,751,184,166,1.3578,147500,"NEAR BAY"
"22",42,1639,367,366,1.7135,159800,"NEAR BAY"
"23",52,2436,541,478,1.725,113900,"NEAR BAY"
"24",52,1688,337,325,2.1806,99700,"NEAR BAY"
"25",52,2224,437,422,2.6,132600,"NEAR BAY"
"26",41,535,123,119,2.4038,107500,"NEAR BAY"
"27",49,1130,244,239,2.4597,93800,"NEAR BAY"
"28",52,1898,421,397,1.808,105500,"NEAR BAY"
"29",50,2082,492,473,1.6424,108900,"NEAR BAY"
"30",52,729,160,155,1.6875,132000,"NEAR BAY"
"31",49,1916,447,378,1.9274,122300,"NEAR BAY"
"32",52,2153,481,441,1.9615,115200,"NEAR BAY"
"33",48,1922,409,335,1.7969,110400,"NEAR BAY"
"34",49,1655,366,329,1.375,104900,"NEAR BAY"
"35",51,2665,574,536,2.7303,109700,"NEAR BAY"
"36",49,1215,282,264,1.4861,97200,"NEAR BAY"
"37",48,1798,432,374,1.0972,104500,"NEAR BAY"
"38",52,1511,390,403,1.4103,103900,"NEAR BAY"
"39",52,1470,330,309,3.48,191400,"NEAR BAY"
"40",52,2432,715,696,2.5898,176000,"NEAR BAY"
"41",52,1665,419,395,2.0978,155400,"NEAR BAY"
"42",51,936,311,249,1.2852,150000,"NEAR BAY"
"43",49,713,202,189,1.025,118800,"NEAR BAY"
"44",52,950,202,198,3.9643,188800,"NEAR BAY"
"45",52,1443,311,292,3.0125,184400,"NEAR BAY"
"46",52,1656,420,382,2.6768,182300,"NEAR BAY"
